Sale_ID,Business_ID,Date,Customer_ID,Product_ID,Quantity,Selling_Price,Discount_Percent,Total_Amount,Payment_Mode,Payment_Status,Credit_Amount,Notes
SALE0001,BUS001,2026-06-01,CUST010,PROD008,6,₹ 13,0,₹ 78,Cash,Completed,0,Standard Sale
SALE0002,BUS001,2026-06-01,CUST028,PROD008,6,₹ 13,0,₹ 78,UPI,Completed,0,Standard Sale
SALE0003,BUS001,2026-06-01,CUST030,PROD008,8,₹ 13,0,₹ 104,Cash,Completed,0,Standard Sale
SALE0004,BUS001,2026-06-01,CUST033,PROD001,7,₹ 162,10,₹ 1020,Cash,Completed,0,Standard Sale
SALE0005,BUS001,2026-06-01,CUST011,PROD009,4,₹ 31,5,₹ 117,Cash,Completed,0,Standard Sale
SALE0006,BUS001,2026-06-01,CUST011,PROD005,7,₹ 377,5,₹ 2507,Credit,Pending,₹ 2507,Standard Sale
SALE0007,BUS001,2026-06-01,CUST031,PROD007,4,₹ 678,0,₹ 2712,Cash,Completed,0,Standard Sale
SALE0008,BUS001,2026-06-01,CUST010,PROD002,2,₹ 95,0,₹ 190,UPI,Completed,0,Standard Sale
SALE0009,BUS001,2026-06-01,CUST039,PROD002,1,₹ 95,0,₹ 95,Cash,Completed,0,Standard Sale
SALE0010,BUS001,2026-06-01,CUST010,PROD002,1,₹ 95,0,₹ 95,UPI,Completed,0,Standard Sale
SALE0011,BUS001,2026-06-01,CUST006,PROD001,8,₹ 162,0,₹ 1296,Cash,Completed,0,Standard Sale
SALE0012,BUS001,2026-06-01,CUST026,PROD008,6,₹ 13,0,₹ 78,Cash,Completed,0,Standard Sale
SALE0013,BUS001,2026-06-01,CUST002,PROD012,4,₹ 316,0,₹ 1264,Cash,Completed,0,Standard Sale
SALE0014,BUS001,2026-06-01,CUST023,PROD005,4,₹ 377,0,₹ 1508,Cash,Completed,0,Standard Sale
SALE0015,BUS001,2026-06-01,CUST011,PROD003,28,₹ 9,0,₹ 252,UPI,Completed,0,Standard Sale
SALE0016,BUS001,2026-06-01,CUST019,PROD003,44,₹ 9,0,₹ 396,UPI,Completed,0,Standard Sale
SALE0017,BUS001,2026-06-01,CUST011,PROD009,4,₹ 31,0,₹ 124,UPI,Completed,0,Standard Sale
