Sale_ID,Business_ID,Date,Customer_ID,Product_ID,Quantity,Selling_Price,Discount_Percent,Total_Amount,Payment_Mode,Payment_Status,Credit_Amount,Notes
SALE001,BUS001,2026-08-12,CUST001,PROD009,16,₹ 50,0,₹ 800,Cash,Completed,0,Standard Sale
SALE002,BUS001,2026-08-10,CUST002,PROD011,6,₹ 295,5,₹ 1681,Credit,Pending,₹ 1681,Standard Sale
SALE003,BUS001,2026-08-24,CUST002,PROD011,26,₹ 295,0,₹ 7670,Credit,Pending,₹ 7670,Standard Sale
SALE004,BUS001,2026-08-17,CUST001,PROD001,43,₹ 220,5,₹ 8987,UPI,Completed,0,Standard Sale
SALE005,BUS001,2026-08-11,CUST001,PROD003,11,₹ 15,10,₹ 148,UPI,Completed,0,Standard Sale
SALE006,BUS001,2026-08-30,CUST003,PROD008,16,₹ 22,10,₹ 316,UPI,Completed,0,Standard Sale
SALE007,BUS001,2026-08-04,CUST005,PROD008,47,₹ 22,0,₹ 1034,UPI,Completed,0,Standard Sale
SALE008,BUS001,2026-08-30,CUST004,PROD009,10,₹ 50,5,₹ 475,Cash,Completed,0,Standard Sale
SALE009,BUS001,2026-08-26,CUST003,PROD012,40,₹ 390,0,₹ 15600,UPI,Completed,0,Standard Sale
SALE010,BUS001,2026-08-02,CUST003,PROD010,16,₹ 520,10,₹ 7488,Credit,Pending,₹ 7488,Standard Sale
SALE011,BUS001,2026-08-08,CUST004,PROD012,30,₹ 390,10,₹ 10530,UPI,Completed,0,Standard Sale
SALE012,BUS001,2026-08-06,CUST003,PROD004,27,₹ 90,0,₹ 2430,Credit,Pending,₹ 2430,Standard Sale
SALE013,BUS001,2026-08-03,CUST004,PROD001,18,₹ 220,0,₹ 3960,Cash,Completed,0,Standard Sale
SALE014,BUS001,2026-08-29,CUST005,PROD006,44,₹ 2450,0,₹ 107800,UPI,Completed,0,Standard Sale
SALE015,BUS001,2026-08-13,CUST001,PROD007,18,₹ 850,10,₹ 13770,UPI,Completed,0,Standard Sale
SALE016,BUS001,2026-08-07,CUST004,PROD011,26,₹ 295,5,₹ 7286,Credit,Pending,₹ 7286,Standard Sale
SALE017,BUS001,2026-08-17,CUST003,PROD011,32,₹ 295,0,₹ 9440,Credit,Pending,₹ 9440,Standard Sale
SALE018,BUS001,2026-08-18,CUST001,PROD007,49,₹ 850,0,₹ 41650,Cash,Completed,0,Standard Sale
SALE019,BUS001,2026-08-05,CUST004,PROD006,18,₹ 2450,0,₹ 44100,Credit,Pending,₹ 44100,Standard Sale
SALE020,BUS001,2026-08-23,CUST004,PROD003,6,₹ 15,0,₹ 90,UPI,Completed,0,Standard Sale
SALE021,BUS001,2026-08-26,CUST002,PROD011,28,₹ 295,5,₹ 7847,Cash,Completed,0,Standard Sale
SALE022,BUS001,2026-08-26,CUST005,PROD008,38,₹ 22,0,₹ 836,Cash,Completed,0,Standard Sale
SALE023,BUS001,2026-08-25,CUST001,PROD003,30,₹ 15,0,₹ 450,UPI,Completed,0,Standard Sale
SALE024,BUS001,2026-08-01,CUST004,PROD007,16,₹ 850,10,₹ 12240,Credit,Pending,₹ 12240,Standard Sale
SALE025,BUS001,2026-08-23,CUST002,PROD001,10,₹ 220,10,₹ 1980,UPI,Completed,0,Standard Sale
SALE026,BUS001,2026-08-06,CUST004,PROD008,14,₹ 22,10,₹ 277,Cash,Completed,0,Standard Sale
SALE027,BUS001,2026-08-10,CUST004,PROD006,6,₹ 2450,10,₹ 13230,UPI,Completed,0,Standard Sale
SALE028,BUS001,2026-08-25,CUST001,PROD007,31,₹ 850,0,₹ 26350,UPI,Completed,0,Standard Sale
SALE029,BUS001,2026-08-08,CUST003,PROD010,36,₹ 520,5,₹ 17784,Cash,Completed,0,Standard Sale
SALE030,BUS001,2026-08-10,CUST003,PROD004,6,₹ 90,10,₹ 486,UPI,Completed,0,Standard Sale
SALE031,BUS001,2026-08-10,CUST002,PROD004,19,₹ 90,0,₹ 1710,Credit,Pending,₹ 1710,Standard Sale
SALE032,BUS001,2026-08-03,CUST002,PROD012,35,₹ 390,0,₹ 13650,Cash,Completed,0,Standard Sale
SALE033,BUS001,2026-08-11,CUST002,PROD007,17,₹ 850,0,₹ 14450,Cash,Completed,0,Standard Sale
SALE034,BUS001,2026-08-23,CUST001,PROD002,15,₹ 135,5,₹ 1923,UPI,Completed,0,Standard Sale
SALE035,BUS001,2026-08-15,CUST002,PROD002,15,₹ 135,10,₹ 1822,Credit,Pending,₹ 1822,Standard Sale
SALE036,BUS001,2026-08-11,CUST002,PROD009,25,₹ 50,0,₹ 1250,UPI,Completed,0,Standard Sale
SALE037,BUS001,2026-08-29,CUST005,PROD005,31,₹ 425,0,₹ 13175,Credit,Pending,₹ 13175,Standard Sale
SALE038,BUS001,2026-08-19,CUST004,PROD003,46,₹ 15,5,₹ 655,Cash,Completed,0,Standard Sale
SALE039,BUS001,2026-08-01,CUST001,PROD004,41,₹ 90,0,₹ 3690,UPI,Completed,0,Standard Sale
SALE040,BUS001,2026-08-27,CUST002,PROD005,31,₹ 425,5,₹ 12516,Cash,Completed,0,Standard Sale
SALE041,BUS001,2026-08-01,CUST004,PROD001,35,₹ 220,0,₹ 7700,Cash,Completed,0,Standard Sale
SALE042,BUS001,2026-08-18,CUST001,PROD001,44,₹ 220,5,₹ 9196,Cash,Completed,0,Standard Sale
SALE043,BUS001,2026-08-15,CUST005,PROD001,8,₹ 220,10,₹ 1584,UPI,Completed,0,Standard Sale
SALE044,BUS001,2026-08-07,CUST001,PROD004,17,₹ 90,0,₹ 1530,Credit,Pending,₹ 1530,Standard Sale
SALE045,BUS001,2026-08-05,CUST002,PROD003,22,₹ 15,0,₹ 330,Credit,Pending,₹ 330,Standard Sale
SALE046,BUS001,2026-08-16,CUST005,PROD009,21,₹ 50,0,₹ 1050,Cash,Completed,0,Standard Sale
SALE047,BUS001,2026-08-08,CUST001,PROD002,24,₹ 135,10,₹ 2916,UPI,Completed,0,Standard Sale
SALE048,BUS001,2026-08-10,CUST002,PROD004,22,₹ 90,10,₹ 1782,Credit,Pending,₹ 1782,Standard Sale
SALE049,BUS001,2026-08-31,CUST001,PROD008,29,₹ 22,10,₹ 574,Credit,Pending,₹ 574,Standard Sale
SALE050,BUS001,2026-08-16,CUST001,PROD003,49,₹ 15,0,₹ 735,Cash,Completed,0,Standard Sale
SALE051,BUS001,2026-08-05,CUST002,PROD004,39,₹ 90,0,₹ 3510,Cash,Completed,0,Standard Sale
SALE052,BUS001,2026-08-29,CUST004,PROD007,49,₹ 850,0,₹ 41650,Credit,Pending,₹ 41650,Standard Sale
SALE053,BUS001,2026-08-26,CUST004,PROD001,21,₹ 220,0,₹ 4620,UPI,Completed,0,Standard Sale
SALE054,BUS001,2026-08-01,CUST003,PROD002,50,₹ 135,0,₹ 6750,Credit,Pending,₹ 6750,Standard Sale
SALE055,BUS001,2026-08-01,CUST005,PROD008,24,₹ 22,0,₹ 528,Cash,Completed,0,Standard Sale
SALE056,BUS001,2026-08-12,CUST003,PROD008,20,₹ 22,0,₹ 440,Cash,Completed,0,Standard Sale
SALE057,BUS001,2026-08-27,CUST004,PROD011,49,₹ 295,0,₹ 14455,UPI,Completed,0,Standard Sale
SALE058,BUS001,2026-08-18,CUST004,PROD003,33,₹ 15,10,₹ 445,UPI,Completed,0,Standard Sale
SALE059,BUS001,2026-08-04,CUST003,PROD008,8,₹ 22,0,₹ 176,Cash,Completed,0,Standard Sale
SALE060,BUS001,2026-08-28,CUST005,PROD006,39,₹ 2450,10,₹ 85995,UPI,Completed,0,Standard Sale
SALE061,BUS001,2026-08-12,CUST002,PROD008,42,₹ 22,0,₹ 924,UPI,Completed,0,Standard Sale
SALE062,BUS001,2026-08-10,CUST005,PROD007,21,₹ 850,10,₹ 16065,UPI,Completed,0,Standard Sale
SALE063,BUS001,2026-08-01,CUST005,PROD002,26,₹ 135,10,₹ 3159,UPI,Completed,0,Standard Sale
SALE064,BUS001,2026-08-15,CUST002,PROD008,39,₹ 22,0,₹ 858,Cash,Completed,0,Standard Sale
SALE065,BUS001,2026-08-25,CUST005,PROD006,47,₹ 2450,5,₹ 109392,Cash,Completed,0,Standard Sale
SALE066,BUS001,2026-08-10,CUST005,PROD004,29,₹ 90,0,₹ 2610,Cash,Completed,0,Standard Sale
SALE067,BUS001,2026-08-24,CUST005,PROD003,6,₹ 15,0,₹ 90,Credit,Pending,₹ 90,Standard Sale
SALE068,BUS001,2026-08-15,CUST004,PROD007,17,₹ 850,0,₹ 14450,UPI,Completed,0,Standard Sale
SALE069,BUS001,2026-08-17,CUST005,PROD005,8,₹ 425,5,₹ 3230,UPI,Completed,0,Standard Sale
SALE070,BUS001,2026-08-28,CUST002,PROD001,32,₹ 220,10,₹ 6336,UPI,Completed,0,Standard Sale
SALE071,BUS001,2026-08-16,CUST001,PROD001,8,₹ 220,5,₹ 1672,UPI,Completed,0,Standard Sale
SALE072,BUS001,2026-08-21,CUST003,PROD006,35,₹ 2450,0,₹ 85750,UPI,Completed,0,Standard Sale
SALE073,BUS001,2026-08-10,CUST002,PROD009,44,₹ 50,5,₹ 2090,UPI,Completed,0,Standard Sale
SALE074,BUS001,2026-08-01,CUST002,PROD004,22,₹ 90,0,₹ 1980,UPI,Completed,0,Standard Sale
SALE075,BUS001,2026-08-24,CUST003,PROD012,10,₹ 390,5,₹ 3705,UPI,Completed,0,Standard Sale
SALE076,BUS001,2026-08-11,CUST005,PROD010,37,₹ 520,0,₹ 19240,UPI,Completed,0,Standard Sale
SALE077,BUS001,2026-08-24,CUST001,PROD003,36,₹ 15,10,₹ 486,UPI,Completed,0,Standard Sale
SALE078,BUS001,2026-08-08,CUST005,PROD012,37,₹ 390,10,₹ 12987,UPI,Completed,0,Standard Sale
SALE079,BUS001,2026-08-12,CUST004,PROD003,7,₹ 15,0,₹ 105,UPI,Completed,0,Standard Sale
SALE080,BUS001,2026-08-04,CUST001,PROD005,8,₹ 425,0,₹ 3400,Cash,Completed,0,Standard Sale
SALE081,BUS001,2026-08-16,CUST003,PROD006,44,₹ 2450,0,₹ 107800,UPI,Completed,0,Standard Sale
